Date,compound_polarity_scores
2016-09-07,0.3612
2016-09-08,0.3612
2016-09-09,0.3612
2016-09-10,0.3612
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.1366
2016-10-01,0.1366
2016-10-02,0.1366
2016-10-03,0.1366
2016-10-04,0.1366
2016-10-05,0.1366
2016-10-06,0.1366
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.2732
2016-10-11,0.2732
2016-10-12,0.2732
2016-10-13,0.2732
2016-10-14,0.2732
2016-10-15,0.2732
2016-10-16,0.2732
2016-10-17,0.2732
2016-10-18,0.2732
2016-10-19,0.2732
2016-10-20,0.914
2016-10-21,0.914
2016-10-22,0.914
2016-10-23,0.914
2016-10-24,0.914
2016-10-25,0.914
2016-10-26,0.914
2016-10-27,0.914
2016-10-28,0.914
2016-10-29,0.914
2016-10-30,-0.2654
2016-10-31,-0.2654
2016-11-01,-0.2654
2016-11-02,-0.2654
2016-11-03,-0.2654
2016-11-04,-0.2654
2016-11-05,-0.2654
2016-11-06,-0.2654
2016-11-07,-0.2654
2016-11-08,-0.2654
2016-11-09,-0.2654
2016-11-10,-0.2654
2016-11-11,-0.2654
2016-11-12,-0.2654
2016-11-13,-0.2654
2016-11-14,-0.2654
2016-11-15,-0.2654
2016-11-16,-0.2654
2016-11-17,-0.2654
2016-11-18,-0.2654
2016-11-19,-0.2654
2016-11-20,-0.12265000000000001
2016-11-21,-0.12265000000000001
2016-11-22,0.0
2016-11-23,0.4215
2016-11-24,0.4215
2016-11-25,0.4215
2016-11-26,0.4215
2016-11-27,0.4215
2016-11-28,0.4215
2016-11-29,-0.2732
2016-11-30,-0.2732
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.4939
2016-12-15,0.4939
2016-12-16,0.4939
2016-12-17,0.4939
2016-12-18,0.4939
2016-12-19,0.4939
2016-12-20,0.4939
2016-12-21,0.4939
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.6893
2016-12-30,0.6893
2016-12-31,0.6893
2017-01-01,0.6893
2017-01-02,0.6893
2017-01-03,0.6893
2017-01-04,0.12138
2017-01-05,0.12138
2017-01-06,0.17333333333333334
2017-01-07,0.0
2017-01-08,-0.1343
2017-01-09,0.6369
2017-01-10,0.6369
2017-01-11,0.2732
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,-0.1343
2017-01-15,-0.1343
2017-01-16,0.3612
2017-01-17,0.3612
